Date,AAPL,AMZN,CVX,GS,JNJ,JPM,MSFT,NVDA,PFE,PG,SPY,XOM
2025-05-21,201.66542053222656,201.1199951171875,132.58676147460938,584.4747314453125,149.82005310058594,257.3705749511719,450.9831848144531,131.7760772705078,22.257266998291016,163.1653594970703,577.827880859375,101.81377410888672
2025-05-22,200.93695068359375,203.10000610351562,132.3226776123047,589.1724853515625,149.26255798339844,257.00579833984375,453.26513671875,132.80589294433594,22.257266998291016,162.77084350585938,578.0558471679688,101.13606262207031
2025-05-23,194.8597412109375,200.99000549316406,133.54525756835938,589.477783203125,149.58531188964844,257.04522705078125,448.6015319824219,131.26617431640625,22.527751922607422,163.5894775390625,574.1102294921875,101.19499206542969
2025-05-27,199.78936767578125,206.02000427246094,134.80697631835938,606.4075317382812,151.17349243164062,261.56085205078125,459.07470703125,135.47540283203125,22.80790138244629,165.46347045898438,586.0463256835938,101.67626190185547
2025-05-28,199.99893188476562,204.72000122070312,133.03668212890625,599.2279052734375,150.36459350585938,259.7861328125,455.75634765625,134.78553771972656,22.39250946044922,165.06895446777344,582.65576171875,100.2913818359375
2025-05-29,199.5299072265625,205.6999969482422,134.88522338867188,595.7020874023438,151.4990234375,260.65374755859375,457.0717468261719,139.1647491455078,22.653337478637695,166.25250244140625,584.9557495117188,100.86105346679688
2025-05-30,200.4280242919922,205.00999450683594,133.70175170898438,594.3065795898438,153.10694885253906,260.2889709472656,458.7458190917969,135.10548400878906,22.691978454589844,167.56431579589844,584.3014526367188,100.4780044555664
2025-06-02,201.27622985839844,206.64999389648438,134.81675720214844,592.59423828125,153.2943572998047,260.939697265625,460.3502197265625,137.35507202148438,22.662996292114258,165.48318481445312,587.5928344726562,101.21463775634766
2025-06-03,202.8429412841797,205.7100067138672,136.4892578125,597.6519775390625,152.32763671875,262.52703857421875,461.3466796875,141.19436645507812,22.55673599243164,164.56593322753906,590.9436645507812,101.95128631591797
2025-06-04,202.3938751220703,207.22999572753906,134.3570556640625,593.0792236328125,151.14390563964844,260.5058898925781,462.2435302734375,141.8942413330078,22.595375061035156,163.67823791503906,590.7849731445312,100.4780044555664
2025-06-05,200.20848083496094,207.91000366210938,133.89736938476562,599.6809692382812,151.57794189453125,258.267822265625,466.0401611328125,139.964599609375,22.334548950195312,160.57138061523438,587.9298095703125,100.01637268066406
2025-06-06,203.49156188964844,213.57000732421875,137.13478088378906,607.7178955078125,152.92938232421875,261.9946594238281,468.7307434082031,141.69427490234375,22.55673599243164,161.77467346191406,593.96728515625,102.41291046142578
2025-06-09,201.02674865722656,216.97999572753906,137.67269897460938,607.2427978515625,153.1266632080078,262.9904479980469,471.0924072265625,142.6041259765625,23.155670166015625,160.33465576171875,594.5026245117188,103.1004409790039
2025-06-10,202.24420166015625,217.61000061035156,140.20590209960938,608.5789794921875,154.33013916015625,264.8243103027344,469.26885986328125,143.9338836669922,23.474458694458008,160.61082458496094,597.873291015625,105.31037139892578
2025-06-11,198.36236572265625,213.1999969482422,141.6045379638672,617.7838134765625,153.15625,264.380615234375,470.9628601074219,142.81399536132812,23.648344039916992,159.8908233642578,596.1681518554688,107.36314392089844
2025-06-12,198.78147888183594,213.24000549316406,141.79037475585938,618.7142333984375,154.53729248046875,264.4693298339844,477.1909484863281,144.98374938964844,23.99611473083496,160.9461669921875,598.5374755859375,107.77566528320312
2025-06-13,196.03726196289062,212.10000610351562,142.7097625732422,607.2625732421875,154.97132873535156,261.22564697265625,473.2946472167969,141.95408630371094,23.706308364868164,158.08587646484375,591.8457641601562,110.12310028076172
2025-06-16,198.0031280517578,216.10000610351562,142.82713317871094,621.4261474609375,153.11680603027344,266.5595397949219,477.46002197265625,144.6737823486328,23.571062088012695,158.6776580810547,597.4766845703125,110.47669219970703
2025-06-17,195.2289581298828,214.82000732421875,145.5852813720703,618.2490844726562,150.31529235839844,265.73138427734375,476.3638610839844,144.1038360595703,23.18465232849121,156.3499755859375,592.3711547851562,111.96961212158203
2025-06-18,196.1669921875,212.52000427246094,144.9397430419922,628.7406005859375,148.68763732910156,270.1089782714844,478.5561218261719,145.46368408203125,23.068727493286133,155.8568115234375,592.281982421875,111.17404174804688
2025-06-20,200.5777130126953,209.69000244140625,146.26992797851562,634.24365234375,147.7603759765625,271.13433837890625,475.7261047363281,143.83387756347656,23.155670166015625,156.9022979736328,590.8909301757812,112.65714263916016
2025-06-23,201.07664489746094,208.47000122070312,143.63893127441406,640.261474609375,149.2696533203125,274.3583679199219,484.29595947265625,144.15383911132812,23.213632583618164,158.82559204101562,596.7274780273438,109.74986267089844
2025-06-24,199.87918090820312,212.77000427246094,140.40151977539062,655.3356323242188,150.12786865234375,277.3063659667969,488.3915100097656,147.88340759277344,23.484119415283203,158.16476440429688,603.3196411132812,106.4104232788086
2025-06-25,201.1365203857422,211.99000549316406,140.08853149414062,663.0162353515625,150.21664428710938,280.0669860839844,490.5439758300781,154.29270935058594,23.435819625854492,156.79380798339844,603.65771484375,106.43988800048828
2025-06-26,200.5777130126953,217.1199951171875,141.27200317382812,680.1293334960938,149.95028686523438,284.6910705566406,495.705810546875,155.00262451171875,23.4164981842041,156.45846557617188,608.380615234375,108.03103637695312
2025-06-27,200.6575469970703,223.3000030517578,140.63624572753906,683.7420043945312,150.34487915039062,283.0740966796875,494.20111083984375,157.73231506347656,23.368196487426758,157.67161560058594,611.4032592773438,107.43190002441406
2025-06-30,204.7389373779297,219.38999938964844,140.04942321777344,700.5086669921875,150.68028259277344,285.8347473144531,495.66595458984375,157.97230529785156,23.4164981842041,157.13902282714844,614.3265380859375,105.88004302978516
2025-07-01,207.3833770751953,220.4600067138672,142.37721252441406,699.23193359375,153.80731201171875,286.3277282714844,490.32470703125,153.2828369140625,24.189321517944336,159.01300048828125,614.127685546875,107.29438781738281
2025-07-02,211.99366760253906,219.9199981689453,144.73435974121094,708.5653686523438,153.4521942138672,287.8954162597656,489.36810302734375,157.2323760986328,24.459808349609375,158.99327087402344,616.9116821289062,109.07215881347656
2025-07-03,213.10133361816406,223.41000366210938,145.1157989501953,716.2756958007812,153.89610290527344,293.2451171875,497.0909423828125,159.3221435546875,24.51776885986328,158.62832641601562,621.7738037109375,110.20166778564453
2025-07-07,209.50889587402344,223.47000122070312,144.1670684814453,703.6561279296875,153.16612243652344,289.25262451171875,495.974853515625,158.22227478027344,24.382524490356445,158.3028564453125,617.140380859375,109.13108825683594
2025-07-08,209.5687713623047,219.36000061035156,149.8789825439453,690.1458740234375,153.6790771484375,280.1481628417969,494.8786926269531,159.98207092285156,24.749616622924805,155.72857666015625,616.8023681640625,112.1562271118164
2025-07-09,210.69639587402344,222.5399932861328,149.663818359375,689.4331665039062,154.16244506835938,280.5246276855469,501.74456787109375,162.86175537109375,24.691654205322266,155.36366271972656,620.5010986328125,111.77318572998047
2025-07-10,211.9637451171875,222.25999450683594,150.78857421875,701.8646850585938,155.55332946777344,285.5078430175781,499.7216796875,164.0816192626953,24.9041805267334,156.32037353515625,622.2510986328125,112.88304901123047
2025-07-11,210.7163543701172,225.02000427246094,151.90357971191406,697.7373657226562,154.77403259277344,284.1901550292969,501.5552062988281,164.90151977539062,24.778596878051758,154.90008544921875,620.0635986328125,113.3741455078125
2025-07-14,208.1816864013672,225.69000244140625,148.3238525390625,706.0018920898438,154.69512939453125,286.0130920410156,501.2562561035156,164.05162048339844,24.488788604736328,151.65512084960938,621.2467651367188,111.89103698730469
2025-07-15,208.67066955566406,226.35000610351562,147.38491821289062,695.3223266601562,153.06747436523438,283.8830871582031,504.04644775390625,170.6808624267578,23.773929595947266,150.58990478515625,618.592041015625,110.89903259277344
2025-07-16,209.7184600830078,223.19000244140625,146.63180541992188,701.5677490234375,162.54727172851562,283.1598815917969,503.84716796875,171.35079956054688,23.773929595947266,151.6255340576172,620.66015625,110.23114013671875
2025-07-17,209.57875061035156,223.8800048828125,148.05978393554688,698.6182861328125,160.7716522216797,287.201904296875,509.9058532714844,172.98062133789062,23.74494743347168,153.48963928222656,624.4583740234375,109.67129516601562
2025-07-18,210.73631286621094,226.1300048828125,146.74916076660156,701.0134887695312,161.4818878173828,288.55914306640625,508.2615966796875,172.39068603515625,23.638683319091797,154.02293395996094,624.0010375976562,105.85057067871094
2025-07-21,212.03358459472656,229.3000030517578,146.39706420898438,698.776611328125,162.13294982910156,288.261962890625,508.2716064453125,171.36080932617188,23.435819625854492,153.9534149169922,625.1842651367188,106.1255874633789
